alpha,instance,n,opt,lm1,lms1,lm2,lm3,lm4,gap_lm1_pct,gap_lms1_pct,gap_lm2_pct,gap_lm3_pct,gap_lm4_pct
0.25,lutz1_c=1572.alb,32,10,9,9,2,5,,10.0,10.0,80.0,50.0,
0.25,lutz1_c=1768.alb,32,9,8,8,1,4,,11.11111111111111,11.11111111111111,88.88888888888889,55.55555555555556,
0.25,lutz1_c=2020.alb,32,8,7,7,1,3,,12.5,12.5,87.5,62.5,
0.25,lutz1_c=2357.alb,32,7,6,6,1,1,,14.285714285714285,14.285714285714285,85.71428571428571,85.71428571428571,
0.25,lutz1_c=2828.alb,32,6,5,5,0,1,,16.666666666666664,16.666666666666664,100.0,83.33333333333334,
0.25,lutz3_c=103.alb,89,17,16,16,3,5,,5.88235294117647,5.88235294117647,82.35294117647058,70.58823529411765,
0.25,lutz3_c=110.alb,89,15,15,15,3,5,,0.0,0.0,80.0,66.66666666666666,
0.25,lutz3_c=118.alb,89,14,14,14,3,3,,0.0,0.0,78.57142857142857,78.57142857142857,
0.25,lutz3_c=127.alb,89,14,13,13,2,2,,7.142857142857142,7.142857142857142,85.71428571428571,85.71428571428571,
0.25,lutz3_c=137.alb,89,13,12,12,1,2,,7.6923076923076925,7.6923076923076925,92.3076923076923,84.61538461538461,
0.25,lutz3_c=150.alb,89,12,11,11,0,2,,8.333333333333332,8.333333333333332,100.0,83.33333333333334,
0.25,lutz3_c=75.alb,89,23,22,22,8,12,,4.3478260869565215,4.3478260869565215,65.21739130434783,47.82608695652174,
0.25,lutz3_c=79.alb,89,22,21,21,5,11,,4.545454545454546,4.545454545454546,77.27272727272727,50.0,
0.25,lutz3_c=83.alb,89,21,20,20,5,10,,4.761904761904762,4.761904761904762,76.19047619047619,52.38095238095239,
0.25,lutz3_c=87.alb,89,20,19,19,4,9,,5.0,5.0,80.0,55.00000000000001,
0.25,lutz3_c=92.alb,89,19,18,18,4,8,,5.263157894736842,5.263157894736842,78.94736842105263,57.89473684210527,
0.25,lutz3_c=97.alb,89,18,17,17,3,6,,5.555555555555555,5.555555555555555,83.33333333333334,66.66666666666666,
0.25,mansoor_c=48.alb,11,4,4,4,3,3,,0.0,0.0,25.0,25.0,
0.25,mansoor_c=62.alb,11,3,3,3,3,2,,0.0,0.0,0.0,33.33333333333333,
0.25,mansoor_c=94.alb,11,2,2,2,0,2,,0.0,0.0,100.0,0.0,
0.25,mukherje_c=176.alb,94,25,24,24,10,15,,4.0,4.0,60.0,40.0,
0.25,mukherje_c=183.alb,94,24,23,23,10,15,,4.166666666666666,4.166666666666666,58.333333333333336,37.5,
0.25,mukherje_c=192.alb,94,23,22,22,8,12,,4.3478260869565215,4.3478260869565215,65.21739130434783,47.82608695652174,
0.25,mukherje_c=201.alb,94,22,21,21,8,11,,4.545454545454546,4.545454545454546,63.63636363636363,50.0,
0.25,mukherje_c=211.alb,94,21,20,20,7,10,,4.761904761904762,4.761904761904762,66.66666666666666,52.38095238095239,
0.25,mukherje_c=222.alb,94,20,19,19,7,9,,5.0,5.0,65.0,55.00000000000001,
0.25,mukherje_c=234.alb,94,19,18,18,4,7,,5.263157894736842,5.263157894736842,78.94736842105263,63.1578947368421,
0.25,mukherje_c=248.alb,94,18,17,17,3,6,,5.555555555555555,5.555555555555555,83.33333333333334,66.66666666666666,
